name,slug,address,source,siret,phone,email,website,google_maps_url,google_rating,google_review_count,gbp_link,opening_hours,network_affiliation,agents_names,has_blog,site_quality,is_mobile_friendly,gbp_photo_count,gbp_last_photo_date,gbp_has_posts,gbp_category,screenshot_path,enrichment_status
Lutece Immobilier,lutece-immobilier-00049,165 RUE DE TOLBIAC 75013 PARIS,"sirene,google_maps",43500135900049,"
01 48 00 00 21",,https://immoside.fr/,https://www.google.com/maps/place/Century+21+Lut%C3%A8ce+Immobilier/data=!4m7!3m6!1s0x47e6718ff5a7c00b:0x3c54031cf979be51!8m2!3d48.8259379!4d2.3544099!16s%2Fg%2F11j8lmmjsw!19sChIJC8Cn9Y9x5kcRUb55-RwDVDw?authuser=0&hl=fr&rclk=1,,,,"{""Ouvert · Ferme à 19"": ""00""}",indépendant,,,,,,,,,,scraped
Jinglong Huang (zhao),jinglong-huang-zhao-00016,15 RUE SIMONE WEIL 75013 PARIS,sirene,82025435700016,,,,,,,,,indépendant,,,,,,,,,,scraped
Jinglong Huang (zhao),jinglong-huang-zhao-00024,11 RUE SIMONE WEIL 75013 PARIS,sirene,82025435700024,,,,,,,,,indépendant,,,,,,,,,,scraped
Sabine Beysson (bonneil) ([nd]),sabine-beysson-bonneil-nd-00035,18 RUE CORVISART 75013 PARIS,sirene,84761103500035,,,,,,,,,indépendant,,,,,,,,,,scraped
Era Agence Vendo,era-agence-vendo-00021,22 RUE BOBILLOT 75013 PARIS,"sirene,google_maps",84253929800021,"
01 42 46 44 51",,https://www.erafrance.com/agence-immobiliere-paris-13-250,https://www.google.com/maps/place/ERA+VENDO+PARIS+13+AGENCE+IMMOBILERE/data=!4m7!3m6!1s0x47e671719159618f:0x179702d9eed24b43!8m2!3d48.8292675!4d2.3534163!16s%2Fg%2F11h6xhfsmz!19sChIJj2FZkXFx5kcRQ0vS7tkClxc?authuser=0&hl=fr&rclk=1,,,,"{""Ouvert · Ferme à 19"": ""30""}",indépendant,,,,,,,,,,scraped
Frederic Engel,frederic-engel-00015,23 BOULEVARD DE PORT-ROYAL 75013 PARIS,sirene,84280769500015,,,,,,,,,indépendant,,,,,,,,,,scraped
Frederic Engel,frederic-engel-00023,23 BOULEVARD DE PORT-ROYAL 75013 PARIS,sirene,84280769500023,,,,,,,,,indépendant,,,,,,,,,,scraped
Aliance Developpement 1%,aliance-developpement-1-00108,19-21 19 QUAI D'AUSTERLITZ 75013 PARIS,sirene,39808410300108,,,,,,,,,indépendant,,,,,,,,,,scraped
Nancel de Laforcade,nancel-de-laforcade-00036,10 BOULEVARD ARAGO 75013 PARIS,sirene,42117803900036,,,,,,,,,indépendant,,,,,,,,,,scraped
Sebastien Fournier,sebastien-fournier-00038,21 RUE DU MOULIN DES PRES 75013 PARIS,sirene,41947285700038,,,,,,,,,indépendant,,,,,,,,,,scraped
Sebastien Fournier,sebastien-fournier-00046,23 RUE DU MOULIN DES PRES 75013 PARIS,sirene,41947285700046,,,,,,,,,indépendant,,,,,,,,,,scraped
Mim,mim-00024,63 BOULEVARD MASSENA 75013 PARIS,sirene,88945362700024,,,,,,,,,indépendant,,,,,,,,,,scraped
Hong Sear Taing,hong-sear-taing-00021,BAT 32 185 BOULEVARD VINCENT AURIOL 75013 PARIS,sirene,89205079000021,,,,,,,,,indépendant,,,,,,,,,,scraped
Bpce Expertises Immobilieres,bpce-expertises-immobilieres-00072,7 PRO GERMAINE SABLON 75013 PARIS 13,sirene,78827680600072,,,,,,,,,indépendant,,,,,,,,,,scraped
Nhu-nghia Trinh,nhu-nghia-trinh-00021,140 AU 144 140 BOULEVARD MASSENA 75013 PARIS,sirene,75179877800021,,,,,,,,,indépendant,,,,,,,,,,scraped
Cabinet Verrey,cabinet-verrey-00018,67 RUE BOBILLOT 75013 PARIS,"sirene,google_maps",51753027500018,"
01 44 16 81 71",,http://www.cabinet-verrey.com/,https://www.google.com/maps/place/Cabinet+Verrey/data=!4m7!3m6!1s0x47e6718eaaaaaaab:0x58f4f48eec2dd758!8m2!3d48.8265461!4d2.3514437!16s%2Fg%2F1v9gtscd!19sChIJq6qqqo5x5kcRWNct7I709Fg?authuser=0&hl=fr&rclk=1,,,,"{""Ouvert · Ferme à 17"": ""00""}",indépendant,,,,,,,,,,scraped
Sylvain Cosse,sylvain-cosse-00036,99 RUE BOBILLOT 75013 PARIS,sirene,51803278400036,,,,,,,,,indépendant,,,,,,,,,,scraped
Christelle Corbillon,christelle-corbillon-00025,131 AVENUE DE CHOISY 75013 PARIS,sirene,52812212000025,,,,,,,,,indépendant,,,,,,,,,,scraped
Edwige Cambon Jurss (cambon),edwige-cambon-jurss-cambon-00042,LOT 27 6EME ETAGE FOND GAUCHE 33 RUE DE TOLBIAC 75013 PARIS,sirene,48466573200042,,,,,,,,,indépendant,,,,,,,,,,scraped
Immo Express,immo-express-00021,128 RUE DU CHEVALERET 75013 PARIS,sirene,44520765700021,,,,,,,,,indépendant,,,,,,,,,,scraped
Pinel Immobilier,pinel-immobilier-00017,11 PLACE PINEL 75013 PARIS,sirene,43242083400017,,,,,,,,,indépendant,,,,,,,,,,scraped
Etp Immo,etp-immo-00022,38 RUE DUNOIS 75013 PARIS,sirene,48171178600022,,,,,,,,,indépendant,,,,,,,,,,scraped
Bien Vendu,bien-vendu-00052,151 RUE DU CHEVALERET 75013 PARIS,sirene,47932024400052,,,,,,,,,indépendant,,,,,,,,,,scraped
Cb 2 I,cb-2-i-00036,3 RUE MICHEL PETER 75013 PARIS,sirene,47946300200036,,,,,,,,,indépendant,,,,,,,,,,scraped
Erce,erce-00015,53 B BOULEVARD ARAGO 75013 PARIS,sirene,34954841200015,,,,,,,,,indépendant,,,,,,,,,,scraped
Syndic Copro 43 Avenue D'italie,syndic-copro-43-avenue-d-italie-00012,43 AVENUE D'ITALIE 75013 PARIS,sirene,42171171400012,,,,,,,,,indépendant,,,,,,,,,,scraped
Co & Co,co-co-00017,53 BOULEVARD SAINT-MARCEL 75013 PARIS,sirene,50175936900017,,,,,,,,,indépendant,,,,,,,,,,scraped
Iryani Phin,iryani-phin-00017,CABINET DIRECT GESTION 105 B RUE DE TOLBIAC 75013 PARIS 13,sirene,51858805800017,,,,,,,,,indépendant,,,,,,,,,,scraped
Legitimmo,legitimmo-00024,85 BOULEVARD DE PORT-ROYAL 75013 PARIS,sirene,51937524000024,,,,,,,,,indépendant,,,,,,,,,,scraped
Jose Pereira Fernandes,jose-pereira-fernandes-00038,7 RUE NICOLAS RORET 75013 PARIS,sirene,51451431400038,,,,,,,,,indépendant,,,,,,,,,,scraped
Coach My Home,coach-my-home-00057,19 AVENUE D'ITALIE 75013 PARIS,sirene,50885560800057,,,,,,,,,indépendant,,,,,,,,,,scraped
Christophe Barbaud,christophe-barbaud-00010,25 BOULEVARD ARAGO 75013 PARIS,sirene,51072045100010,,,,,,,,,indépendant,,,,,,,,,,scraped
Hadsil,hadsil-00032,3 RUE XAINTRAILLES 75013 PARIS,sirene,48418268800032,,,,,,,,,indépendant,,,,,,,,,,scraped
Alefa,alefa-00016,189 RUE DE TOLBIAC 75013 PARIS,sirene,49784144500016,,,,,,,,,indépendant,,,,,,,,,,scraped
Cie Financiere et Immobiliere de la Vallee de Germigny Cofivag (cofivag),cie-financiere-et-immobiliere-de-la-vallee-de-germigny-cofivag-cofivag-00023,41 RUE BARRAULT 75013 PARIS,sirene,37976532400023,,,,,,,,,indépendant,,,,,,,,,,scraped
Dalien,dalien-00020,CHEZ M. BOISSEAU JEAN-LOUIS 25 BOULEVARD ARAGO 75013 PARIS,sirene,35320406800020,,,,,,,,,indépendant,,,,,,,,,,scraped
Novae,novae-00012,34 RUE DE TOLBIAC 75013 PARIS,sirene,51475199900012,,,,,,,,,indépendant,,,,,,,,,,scraped
Option 13,option-13-00018,56 RUE JENNER 75013 PARIS,"sirene,google_maps",79877496400018,"
01 82 83 81 61",,http://www.option13.fr/,https://www.google.com/maps/place/Option+13/data=!4m7!3m6!1s0x47e671f4a899f4a9:0x59e73f974167064a!8m2!3d48.8364641!4d2.3599637!16s%2Fg%2F11btlq1vbz!19sChIJqfSZqPRx5kcRSgZnQZc_51k?authuser=0&hl=fr&rclk=1,,,,,indépendant,,,,,,,,,,scraped
Chrystel Guertner,chrystel-guertner-00017,BAT E5 83 RUE DE L'AMIRAL MOUCHEZ 75013 PARIS,sirene,79470175500017,,,,,,,,,indépendant,,,,,,,,,,scraped
Immo 100,immo-100-00010,8 RUE DES FRIGOS 75013 PARIS,sirene,79520755400010,,,,,,,,,indépendant,,,,,,,,,,scraped
Sci Audray Cottenceau,sci-audray-cottenceau-00012,139 RUE DE TOLBIAC 75013 PARIS,sirene,35221651900012,,,,,,,,,indépendant,,,,,,,,,,scraped
Societe Civile les Gerbeaux,societe-civile-les-gerbeaux-00019,74 RUE DUNOIS 75013 PARIS,sirene,38221340300019,,,,,,,,,indépendant,,,,,,,,,,scraped
Katia Behm,katia-behm-00010,28 RUE BRILLAT-SAVARIN 75013 PARIS,sirene,38245315700010,,,,,,,,,indépendant,,,,,,,,,,scraped
Lafay,lafay-00021,14 VILLA D'ESTE 75013 PARIS,sirene,42146613700021,,,,,,,,,indépendant,,,,,,,,,,scraped
Anne Dutreix,anne-dutreix-00012,36 RUE DE CAMPO-FORMIO 75013 PARIS,sirene,41404895900012,,,,,,,,,indépendant,,,,,,,,,,scraped
Louis Memran,louis-memran-00012,1 B PASSAGE BOURGOIN 75013 PARIS,sirene,41149476800012,,,,,,,,,indépendant,,,,,,,,,,scraped
Directgestion,directgestion-00048,105 B RUE DE TOLBIAC 75013 PARIS 13,sirene,41770779100048,,,,,,,,,indépendant,,,,,,,,,,scraped
Sunfa,sunfa-00013,56 AVENUE D'IVRY 75013 PARIS,sirene,43942896200013,,,,,,,,,indépendant,,,,,,,,,,scraped
Sci Donia,sci-donia-00014,3 AVENUE JOSEPH BEDIER 75013 PARIS,sirene,43961412400014,,,,,,,,,indépendant,,,,,,,,,,scraped
Sci Haca,sci-haca-00045,47 RUE DUNOIS 75013 PARIS,sirene,35337188300045,,,,,,,,,indépendant,,,,,,,,,,scraped
Isambert Espace Arago,isambert-espace-arago-00014,42 BOULEVARD ARAGO 75013 PARIS,sirene,34922435200014,,,,,,,,,indépendant,,,,,,,,,,scraped
Sci la Valserine,sci-la-valserine-00033,LOT 45 59 AVENUE DES GOBELINS 75013 PARIS,sirene,33125876400033,,,,,,,,,indépendant,,,,,,,,,,scraped
Soc Civile Rousseau,soc-civile-rousseau-00014,5 RUE JULES BRETON 75013 PARIS,sirene,33208834300014,,,,,,,,,indépendant,,,,,,,,,,scraped
Cafada,cafada-00020,63 AVENUE DES GOBELINS 75013 PARIS,sirene,32792094800020,,,,,,,,,indépendant,,,,,,,,,,scraped
Jean-luc Fosse,jean-luc-fosse-00038,86 RUE BRILLAT-SAVARIN 75013 PARIS,sirene,32795855900038,,,,,,,,,indépendant,,,,,,,,,,scraped
Jachrigi,jachrigi-00011,38 RUE DES CORDELIERES 75013 PARIS,sirene,33043202200011,,,,,,,,,indépendant,,,,,,,,,,scraped
Paradou Investissements,paradou-investissements-00029,48 RUE SAMSON 75013 PARIS,sirene,37886025800029,,,,,,,,,indépendant,,,,,,,,,,scraped
Soc Mega,soc-mega-00014,121 AVENUE D'ITALIE 75013 PARIS,sirene,33285595600014,,,,,,,,,indépendant,,,,,,,,,,scraped
Gepod,gepod-00015,4 RUE DU DOCTEUR LERAY 75013 PARIS,sirene,31203358200015,,,,,,,,,indépendant,,,,,,,,,,scraped
Djvm,djvm-00010,79 RUE DE LA SANTE 75013 PARIS,sirene,82398547800010,,,,,,,,,indépendant,,,,,,,,,,scraped
Residys,residys-00039,43 AVENUE PIERRE MENDES FRANCE 75013 PARIS,sirene,82494828500039,,,,,,,,,indépendant,,,,,,,,,,scraped
Svps,svps-00034,FLAMEL PARTICIPATIONS DEVELOPPEMENT 1 BOULEVARD ARAGO 75013 PARIS,sirene,80527045100034,,,,,,,,,indépendant,,,,,,,,,,scraped
J & F Immobilier,j-f-immobilier-00016,68 AVENUE DES GOBELINS 75013 PARIS,sirene,83245316100016,,,,,,,,,indépendant,,,,,,,,,,scraped
Taden Capital,taden-capital-00037,8 RUE JEANNE CHAUVIN 75013 PARIS,sirene,90169519700037,,,,,,,,,indépendant,,,,,,,,,,scraped
Groupe Tl,groupe-tl-00012,103 AVENUE D'ITALIE 75013 PARIS,sirene,89296013900012,,,,,,,,,indépendant,,,,,,,,,,scraped
Sci Th Flat,sci-th-flat-00015,38 RUE DUNOIS 75013 PARIS,sirene,97839214000015,,,,,,,,,indépendant,,,,,,,,,,scraped
Sl,sl-00010,23 RUE BOURGON 75013 PARIS,sirene,48001383800010,,,,,,,,,indépendant,,,,,,,,,,scraped
Paris Montsouris Conseil (pmc S),paris-montsouris-conseil-pmc-s-00015,7 PLACE DE RUNGIS 75013 PARIS,sirene,48231100800015,,,,,,,,,indépendant,,,,,,,,,,scraped
Jean-christophe Meno,jean-christophe-meno-00018,RUE DU COLONEL DOMINE 75013 PARIS,sirene,80154114500018,,,,,,,,,indépendant,,,,,,,,,,scraped
Julien Ottavi,julien-ottavi-00013,34 RUE DE TOLBIAC 75013 PARIS,sirene,81264978800013,,,,,,,,,indépendant,,,,,,,,,,scraped
Jessen,jessen-00011,183-189 183 AVENUE DE CHOISY 75013 PARIS,sirene,81943606400011,,,,,,,,,indépendant,,,,,,,,,,scraped
Saint-jalmes Conseils,saint-jalmes-conseils-00017,56 BOULEVARD DE L'HOPITAL 75013 PARIS,sirene,82043568300017,,,,,,,,,indépendant,,,,,,,,,,scraped
J&j Patrimoine,j-j-patrimoine-00012,83 BOULEVARD AUGUSTE BLANQUI 75013 PARIS,sirene,80996673200012,,,,,,,,,indépendant,,,,,,,,,,scraped
Eliott's Immobilier,eliott-s-immobilier-00024,189 RUE DE TOLBIAC 75013 PARIS,sirene,80857270500024,,,,,,,,,indépendant,,,,,,,,,,scraped
Amstrime,amstrime-00016,18 RUE LE DANTEC 75013 PARIS,sirene,79173933700016,,,,,,,,,indépendant,,,,,,,,,,scraped
Olympiades Gestion,olympiades-gestion-00010,72 RUE DE TOLBIAC 75013 PARIS,"sirene,google_maps",53378212400010,"
01 58 89 21 21",,https://www.century21-olympiades-paris-13.com/?utm_source=google_business&utm_medium=bouton_fiche_agence&utm_campaign=century-21-olympiades-paris-13,https://www.google.com/maps/place/Agence+Immobili%C3%A8re+CENTURY+21+Olympiades+-+Paris+13/data=!4m7!3m6!1s0x47e67227b47f3e09:0xf1bc02da78b4f574!8m2!3d48.8272156!4d2.367208!16s%2Fg%2F1tf23d64!19sChIJCT5_tCdy5kcRdPW0eNoCvPE?authuser=0&hl=fr&rclk=1,,,,"{""Ouvre bientôt · 14"": ""00""}",indépendant,,,,,,,,,,scraped
Krystyna Immobilier,krystyna-immobilier-00015,42 AU 44 42 AVENUE DE LA PORTE D'IVRY 75013 PARIS,sirene,53132636100015,,,,,,,,,indépendant,,,,,,,,,,scraped
Massena Immobilier,massena-immobilier-00024,58 AVENUE DE CHOISY 75013 PARIS,sirene,53230971300024,,,,,,,,,indépendant,,,,,,,,,,scraped
Ljz Immo,ljz-immo-00021,27 AVENUE STEPHEN PICHON 75013 PARIS,sirene,52919128000021,,,,,,,,,indépendant,,,,,,,,,,scraped
Jacques Skowronski,jacques-skowronski-00037,BATIMENT 16 121 RUE JEANNE D'ARC 75013 PARIS,sirene,52968715400037,,,,,,,,,indépendant,,,,,,,,,,scraped
A.h. Consultant Immobilier,a-h-consultant-immobilier-00025,46 RUE DES CORDELIERES 75013 PARIS,sirene,83080928100025,,,,,,,,,indépendant,,,,,,,,,,scraped
Cdc Habitat-administration de Biens,cdc-habitat-administration-de-biens-00026,33 AVENUE PIERRE MENDES FRANCE 75013 PARIS,sirene,82352053100026,,,,,,,,,indépendant,,,,,,,,,,scraped
Anne-sophie Quenel,anne-sophie-quenel-00019,64 RUE CORVISART 75013 PARIS,sirene,82354217000019,,,,,,,,,indépendant,,,,,,,,,,scraped
Adhoc Patrimoine,adhoc-patrimoine-00018,68 RUE DE TOLBIAC 75013 PARIS,sirene,89038471200018,,,,,,,,,indépendant,,,,,,,,,,scraped
Proximit'y Immobilier,proximit-y-immobilier-00020,22 RUE DU DOCTEUR MAGNAN 75013 PARIS,sirene,88243329500020,,,,,,,,,indépendant,,,,,,,,,,scraped
Cote Particuliers,cote-particuliers-00011,47 BOULEVARD SAINT-MARCEL 75013 PARIS,sirene,88314191300011,,,,,,,,,indépendant,,,,,,,,,,scraped
Audrey Yousfi (parseghian),audrey-yousfi-parseghian-00017,CHEZ MADAME PARSEGHIAN 71 RUE DE TOLBIAC 75013 PARIS,sirene,88320237600017,,,,,,,,,indépendant,,,,,,,,,,scraped
Dream Flat Consulting,dream-flat-consulting-00015,41 RUE DU DISQUE 75013 PARIS,sirene,90031831200015,,,,,,,,,indépendant,,,,,,,,,,scraped
Groupe Cdc,groupe-cdc-00010,103 AVENUE D'ITALIE 75013 PARIS,sirene,89317937400010,,,,,,,,,indépendant,,,,,,,,,,scraped
Thayri-louise Immobilier,thayri-louise-immobilier-00019,40 AVENUE D'ITALIE 75013 PARIS,sirene,89418314400019,,,,,,,,,indépendant,,,,,,,,,,scraped
Lb Conseils,lb-conseils-00014,11 RUE JEANNE D'ARC 75013 PARIS,sirene,89448188600014,,,,,,,,,indépendant,,,,,,,,,,scraped
Pantomim,pantomim-00016,29 BOULEVARD AUGUSTE BLANQUI 75013 PARIS,sirene,87826927300016,,,,,,,,,indépendant,,,,,,,,,,scraped
Ml Consulting,ml-consulting-00028,10 RUE RAYMOND ARON 75013 PARIS,sirene,87895595400028,,,,,,,,,indépendant,,,,,,,,,,scraped
Nazim Mansourah,nazim-mansourah-00022,ETG 3 APPT 25 15 RUE BELLIER-DEDOUVRE 75013 PARIS,sirene,88081632700022,,,,,,,,,indépendant,,,,,,,,,,scraped
Dh Immobilier,dh-immobilier-00013,196 RUE DE TOLBIAC 75013 PARIS,sirene,84441001900013,,,,,,,,,indépendant,,,,,,,,,,scraped
